ID,Tropical,Warm,Cold
V_anabaptista,NaN,2,0
V_subsessile,NaN,2,0
V_tinoides,NaN,2,0
V_undulatum,NaN,2,0
V_jamesonii,NaN,2,0
V_lasiophyllum,NaN,2,0
V_glabratum,NaN,2,0
V_hallii,NaN,2,0
V_pichinchense,NaN,2,0
V_divaricatum,NaN,2,0
V_stipitatum,NaN,2,0
V_obtectum,NaN,2,0
V_triphyllum,NaN,2,0
V_ayavacense,NaN,2,0
V_seemenii,NaN,2,0
V_toronis,NaN,2,0
V_costaricanum,NaN,2,0
V_hartwegii,NaN,2,0
V_obtusatum,NaN,2,0
V_villosum,NaN,2,0
V_jucundum,NaN,2,0
V_lautum,NaN,2,0
V_hondurense,NaN,2,0
V_disjunctum,NaN,2,0
V_stellato_tomentosum,NaN,2,0
V_acutifolium,NaN,2,0
V_sulcatum,NaN,2,0
V_venustum,NaN,2,0
V_discolor,NaN,2,0
V_microphyllum,NaN,2,0
V_blandum,NaN,2,0
V_caudatum,NaN,2,0
V_ciliatum,NaN,2,0
V_microcarpum,NaN,2,0
V_stenocalyx,NaN,2,0
V_loeseneri,NaN,2,0
V_dentatum,0,0,2
V_recognitum,0,0,2
V_scabrellum,NaN,2,0
V_molle,NaN,NaN,2
V_rafinesquianum,0,0,2
V_bracteatum,NaN,NaN,2
V_australe,NaN,2,NaN
V_ellipticum,NaN,2,NaN
Porphyrotinus_CO,NaN,2,NaN
V_brevipes,NaN,2,2
V_corylifolium,NaN,2,NaN
V_dilatatum,0,0,2
V_parvifolium,0,2,NaN
V_flavescens,NaN,NaN,2
V_ichangense,NaN,NaN,2
V_adenophorum,NaN,2,0
V_wrightii,NaN,NaN,2
V_fordiae,NaN,2,NaN
V_formosanum,NaN,2,0
V_luzonicum,NaN,2,0
V_tashiroi,NaN,2,NaN
V_hainanense,NaN,2,0
V_phlebotrichum,NaN,NaN,2
V_setigerum,NaN,NaN,2
V_brachyandrum,NaN,2,NaN
V_erosum,NaN,NaN,2
V_lancifolium,NaN,2,0
V_anamensis,NaN,2,0
V_sempervirens,NaN,2,0
V_chunii,NaN,2,0
V_japonicum,NaN,2,0
V_longiradiatum,NaN,2,2
V_dalzielii,NaN,2,NaN
V_integrifolium,NaN,2,0
V_betulifolium,0,0,2
V_hupehense,NaN,NaN,2
V_lobophyllum,NaN,NaN,2
V_melanocarpum,NaN,NaN,2
V_mullaha,0,0,2
V_foetidum,NaN,2,NaN
V_acerifolium,0,0,2
V_orientale,NaN,NaN,2
V_kansuense,NaN,NaN,2
V_hispidulum,2,NaN,0
V_vernicosum,2,NaN,0
V_glaberrimum,2,NaN,0
V_beccarii,2,NaN,0
V_inopinatum,NaN,2,0
V_sambucinum,2,NaN,0
V_leiocarpum,NaN,2,0
V_ternatum,NaN,2,NaN
V_coriaceum,2,NaN,0
V_hebanthum,2,NaN,0
V_cylindricum,NaN,2,0
V_opulus,0,0,2
V_sargentii,0,0,2
V_trilobum,0,0,2
V_edule,0,0,2
V_koreanum,NaN,NaN,2
V_atrocyaneum,NaN,2,0
V_calvum,NaN,2,2
V_cinnamomifolium,NaN,2,0
V_propinquum,NaN,2,0
V_davidii,NaN,2,0
V_rigidum,NaN,2,0
V_tinus,NaN,2,0
V_treleasei,NaN,2,0
V_henryi,NaN,2,0
V_wardii,NaN,2,NaN
V_brachybotryum,NaN,2,0
V_corymbiflorum,NaN,2,NaN
V_shweliense,NaN,2,2
V_tengyuehense,NaN,2,2
V_brevitubum,NaN,2,2
V_oliganthum,NaN,NaN,2
V_erubescens,NaN,NaN,2
V_chingii,NaN,2,2
V_yunnanense,NaN,2,NaN
V_foetens,NaN,NaN,2
V_grandiflorum,NaN,NaN,2
V_farreri,NaN,NaN,2
V_suspensum,NaN,2,0
V_taitoense,NaN,2,0
V_subalpinum,NaN,NaN,2
V_awabuki,NaN,2,0
V_odoratissimum,NaN,2,0
V_sieboldii,NaN,NaN,2
V_colebrookeanum,2,NaN,0
V_garrettii,2,2,0
V_junghunii,NaN,2,0
V_hanceanum,NaN,2,NaN
V_plicatum,0,NaN,2
V_lutescens,2,NaN,0
V_pyramidatum,NaN,2,0
V_amplifolium,NaN,2,NaN
V_amplificatum,2,NaN,0
Viburnum_BC,NaN,2,NaN
V_bitchiuense,NaN,NaN,2
V_carlesii,NaN,NaN,2
V_congestum,NaN,2,2
V_schensianum,NaN,NaN,2
V_utile,NaN,NaN,2
V_macrocephalum,NaN,NaN,2
V_buddleifolium,NaN,NaN,2
V_chinshanense,NaN,2,2
V_rhytidophyllum,NaN,NaN,2
V_glomeratum,NaN,NaN,2
V_veitchii,NaN,NaN,2
V_lantana,0,NaN,2
V_maculatum,NaN,NaN,2
V_burejaeticum,0,NaN,2
V_mongolicum,NaN,NaN,2
V_cotinifolium,NaN,NaN,2
V_elatum,NaN,2,0
V_obovatum,NaN,2,0
V_prunifolium,0,0,2
V_rufidulum,0,2,2
V_lentago,0,0,2
Valvatotinus_IS,NaN,2,2
V_cassinoides,0,0,2
V_nudum,NaN,2,0
V_lepidotulum,2,NaN,0
V_punctatum,2,NaN,0
Valvatotinus_PB,NaN,2,NaN
Valvatotinus_NWT,NaN,2,NaN
V_furcatum,0,0,2
V_sympodiale,NaN,NaN,2
V_lantanoides,0,0,2
V_nervosum,NaN,NaN,2
V_taiwanianum,NaN,2,0
V_urceolatum,NaN,NaN,2
V_clemensiae,2,NaN,0
